,SAT,base,base2
682,0.353,0.434,0.504
683,0.334,0.426,0.496
684,0.355,0.447,0.506
685,0.362,0.455,0.505
686,0.33,0.422,0.49
687,0.35,0.436,0.51
688,0.355,0.441,0.515
689,0.348,0.436,0.505
690,0.343,0.441,0.513
691,0.354,0.441,0.507
692,0.334,0.433,0.499
693,0.353,0.445,0.512
694,0.343,0.432,0.5
695,0.372,0.46,0.509
696,0.363,0.442,0.506
697,0.347,0.43,0.508
698,0.353,0.432,0.505
699,0.363,0.451,0.516
700,0.357,0.444,0.519
701,0.351,0.43,0.493
702,0.341,0.428,0.501
703,0.356,0.444,0.515
704,0.368,0.447,0.509
705,0.356,0.449,0.519
706,0.35,0.425,0.497
707,0.354,0.441,0.51
708,0.35,0.435,0.504
709,0.345,0.434,0.508
710,0.345,0.433,0.502
711,0.356,0.441,0.511
712,0.34,0.431,0.502
713,0.349,0.44,0.511
714,0.349,0.43,0.5
715,0.348,0.442,0.509
716,0.348,0.447,0.517
717,0.339,0.433,0.5
718,0.363,0.448,0.508
719,0.338,0.428,0.5
720,0.352,0.437,0.505
721,0.344,0.433,0.502
722,0.358,0.434,0.508
723,0.347,0.44,0.51
724,0.354,0.437,0.497
725,0.347,0.434,0.504
726,0.343,0.44,0.501
727,0.349,0.434,0.504
728,0.342,0.435,0.502
729,0.334,0.437,0.512
730,0.351,0.445,0.508
731,0.342,0.437,0.506
732,0.332,0.438,0.508
733,0.352,0.443,0.51
734,0.35,0.432,0.505
735,0.348,0.437,0.51
736,0.351,0.444,0.513
737,0.35,0.443,0.52
738,0.337,0.429,0.5
739,0.353,0.43,0.502
740,0.353,0.426,0.499
741,0.339,0.439,0.512
742,0.35,0.443,0.509
743,0.349,0.438,0.509
744,0.36,0.453,0.523
745,0.353,0.452,0.513
746,0.34,0.428,0.499
747,0.366,0.446,0.508
748,0.338,0.423,0.493
749,0.341,0.426,0.498
750,0.378,0.463,0.514
751,0.357,0.445,0.513
752,0.347,0.435,0.513
753,0.328,0.428,0.5
754,0.339,0.44,0.508
755,0.352,0.44,0.504
756,0.354,0.431,0.502
757,0.35,0.448,0.507
758,0.34,0.428,0.5
759,0.348,0.444,0.517
760,0.351,0.436,0.503
761,0.373,0.447,0.512
762,0.356,0.45,0.508
763,0.339,0.431,0.503
764,0.336,0.432,0.501
765,0.343,0.423,0.496
766,0.364,0.462,0.51
767,0.334,0.434,0.501
768,0.349,0.442,0.501
769,0.346,0.434,0.503
770,0.358,0.453,0.506
771,0.359,0.434,0.5
772,0.329,0.426,0.501
773,0.364,0.441,0.514
774,0.357,0.45,0.514
775,0.34,0.437,0.506
776,0.364,0.46,0.513
777,0.341,0.422,0.494
778,0.334,0.424,0.492
779,0.34,0.434,0.499
780,0.369,0.442,0.507
781,0.342,0.419,0.491
782,0.368,0.454,0.504
783,0.348,0.43,0.498
784,0.35,0.432,0.504
785,0.343,0.437,0.503
786,0.37,0.451,0.502
787,0.335,0.433,0.503
788,0.353,0.44,0.508
789,0.341,0.436,0.511
790,0.334,0.427,0.496
791,0.337,0.433,0.504
792,0.345,0.436,0.507
793,0.353,0.444,0.502
794,0.336,0.421,0.491
795,0.35,0.441,0.498
796,0.344,0.436,0.509
797,0.334,0.427,0.498
798,0.343,0.429,0.499
799,0.343,0.434,0.506
800,0.341,0.437,0.509
801,0.355,0.434,0.508
802,0.379,0.459,0.503
803,0.343,0.434,0.506
804,0.348,0.442,0.513
805,0.359,0.447,0.514
806,0.341,0.441,0.511
807,0.333,0.425,0.496
808,0.348,0.429,0.498
809,0.362,0.443,0.507
810,0.347,0.436,0.508
811,0.341,0.436,0.504
812,0.327,0.422,0.492
813,0.344,0.453,0.517
814,0.345,0.428,0.499
815,0.316,0.418,0.484
816,0.341,0.428,0.503
817,0.355,0.445,0.517
818,0.355,0.438,0.505
819,0.362,0.452,0.511
820,0.342,0.438,0.504
821,0.349,0.43,0.501
822,0.347,0.436,0.509
823,0.324,0.423,0.493
824,0.352,0.438,0.514
825,0.351,0.439,0.502
826,0.371,0.451,0.506
827,0.352,0.44,0.504
828,0.336,0.42,0.497
829,0.357,0.437,0.5
830,0.36,0.45,0.505
831,0.357,0.451,0.523
832,0.358,0.457,0.517
833,0.362,0.441,0.517
834,0.356,0.44,0.509
835,0.336,0.421,0.491
836,0.354,0.443,0.512
837,0.358,0.448,0.518
838,0.354,0.434,0.506
839,0.356,0.443,0.507
840,0.344,0.425,0.495
841,0.338,0.424,0.495
842,0.33,0.435,0.506
843,0.343,0.43,0.498
844,0.347,0.434,0.508
845,0.338,0.443,0.515
846,0.355,0.441,0.501
847,0.332,0.432,0.5
848,0.357,0.44,0.507
849,0.353,0.446,0.513
850,0.362,0.444,0.509
851,0.351,0.443,0.509
852,0.349,0.454,0.512
853,0.362,0.44,0.51
854,0.353,0.436,0.501
855,0.336,0.43,0.496
856,0.354,0.444,0.511
