,MRA,base,base2
813,0.348,0.442,0.514
814,0.352,0.427,0.494
815,0.328,0.447,0.499
816,0.33,0.435,0.506
817,0.344,0.425,0.493
818,0.335,0.424,0.497
819,0.327,0.429,0.495
820,0.354,0.443,0.515
821,0.338,0.44,0.51
822,0.347,0.444,0.514
823,0.335,0.448,0.512
824,0.34,0.453,0.516
825,0.338,0.429,0.497
826,0.329,0.452,0.5
827,0.346,0.432,0.504
828,0.35,0.421,0.493
829,0.342,0.442,0.51
830,0.34,0.436,0.507
831,0.337,0.447,0.505
832,0.349,0.442,0.512
833,0.343,0.436,0.509
834,0.337,0.423,0.491
835,0.336,0.426,0.495
836,0.343,0.448,0.504
837,0.343,0.439,0.507
838,0.33,0.436,0.504
839,0.336,0.437,0.509
840,0.338,0.443,0.51
841,0.342,0.448,0.507
842,0.339,0.445,0.507
843,0.332,0.442,0.504
844,0.336,0.458,0.507
845,0.346,0.436,0.509
846,0.339,0.44,0.513
847,0.345,0.434,0.512
848,0.339,0.434,0.506
849,0.342,0.446,0.512
850,0.339,0.425,0.496
851,0.352,0.439,0.514
852,0.344,0.425,0.496
853,0.344,0.443,0.511
854,0.339,0.438,0.507
855,0.328,0.439,0.503
856,0.334,0.434,0.503
857,0.333,0.451,0.504
858,0.333,0.434,0.502
859,0.348,0.444,0.512
860,0.348,0.443,0.513
861,0.334,0.423,0.492
862,0.336,0.438,0.502
863,0.337,0.433,0.505
864,0.345,0.441,0.514
865,0.343,0.437,0.512
866,0.342,0.455,0.518
867,0.338,0.437,0.51
868,0.334,0.435,0.502
869,0.332,0.439,0.506
870,0.34,0.451,0.513
871,0.342,0.446,0.511
872,0.343,0.443,0.514
873,0.334,0.457,0.508
874,0.342,0.436,0.506
875,0.339,0.445,0.509
876,0.346,0.455,0.51
877,0.349,0.44,0.509
878,0.338,0.429,0.501
879,0.34,0.437,0.506
880,0.334,0.444,0.512
881,0.351,0.427,0.502
882,0.338,0.436,0.508
883,0.332,0.437,0.504
884,0.331,0.428,0.5
885,0.342,0.437,0.508
886,0.336,0.46,0.515
887,0.34,0.441,0.504
888,0.341,0.428,0.494
889,0.336,0.426,0.498
890,0.325,0.449,0.493
891,0.343,0.437,0.505
892,0.337,0.461,0.503
893,0.332,0.428,0.5
894,0.339,0.426,0.499
895,0.346,0.422,0.495
896,0.344,0.436,0.504
897,0.334,0.434,0.504
898,0.336,0.435,0.504
899,0.338,0.411,0.479
900,0.346,0.447,0.513
901,0.336,0.436,0.506
902,0.334,0.434,0.5
903,0.322,0.423,0.492
904,0.334,0.431,0.509
905,0.343,0.43,0.501
906,0.353,0.447,0.515
907,0.339,0.451,0.511
908,0.343,0.446,0.516
909,0.338,0.443,0.51
910,0.34,0.453,0.512
911,0.341,0.431,0.5
912,0.339,0.458,0.519
913,0.332,0.435,0.505
914,0.347,0.444,0.51
915,0.35,0.451,0.514
916,0.343,0.452,0.511
917,0.351,0.439,0.51
