,SAT,base,base2
396,0.155,0.176,0.204
397,0.162,0.182,0.211
398,0.166,0.187,0.217
399,0.163,0.188,0.217
400,0.162,0.19,0.219
401,0.16,0.187,0.216
402,0.16,0.186,0.215
403,0.155,0.183,0.213
404,0.156,0.18,0.211
405,0.159,0.182,0.216
406,0.154,0.183,0.209
407,0.162,0.186,0.217
408,0.158,0.177,0.208
409,0.167,0.187,0.219
410,0.158,0.181,0.21
411,0.159,0.18,0.211
412,0.158,0.178,0.205
413,0.162,0.185,0.214
414,0.163,0.184,0.217
415,0.159,0.182,0.211
416,0.156,0.177,0.207
417,0.156,0.177,0.206
418,0.157,0.181,0.212
419,0.155,0.179,0.207
420,0.162,0.187,0.217
421,0.161,0.192,0.221
422,0.159,0.184,0.211
423,0.161,0.185,0.216
424,0.163,0.185,0.213
425,0.164,0.185,0.216
426,0.157,0.182,0.209
427,0.157,0.185,0.213
428,0.16,0.184,0.212
429,0.16,0.182,0.211
430,0.163,0.184,0.211
431,0.158,0.182,0.207
432,0.156,0.179,0.21
433,0.159,0.185,0.214
434,0.163,0.185,0.215
435,0.164,0.183,0.215
436,0.158,0.176,0.21
437,0.163,0.188,0.215
438,0.152,0.179,0.204
439,0.162,0.19,0.221
440,0.159,0.18,0.209
441,0.165,0.187,0.217
442,0.163,0.184,0.216
443,0.158,0.184,0.217
444,0.162,0.183,0.212
445,0.169,0.192,0.222
446,0.159,0.18,0.205
447,0.161,0.186,0.217
448,0.159,0.184,0.213
449,0.164,0.193,0.221
450,0.164,0.185,0.215
451,0.165,0.188,0.218
452,0.168,0.188,0.218
453,0.161,0.186,0.213
454,0.156,0.181,0.208
455,0.161,0.185,0.217
456,0.158,0.182,0.215
457,0.161,0.186,0.213
458,0.161,0.186,0.215
459,0.161,0.184,0.213
460,0.163,0.187,0.216
461,0.159,0.181,0.206
462,0.161,0.184,0.211
463,0.162,0.182,0.211
464,0.159,0.177,0.21
465,0.17,0.193,0.225
466,0.16,0.184,0.215
467,0.159,0.182,0.212
468,0.162,0.186,0.215
469,0.164,0.182,0.207
470,0.165,0.184,0.216
471,0.164,0.186,0.214
472,0.154,0.184,0.216
473,0.162,0.182,0.212
474,0.155,0.177,0.207
475,0.163,0.181,0.212
476,0.157,0.18,0.208
477,0.168,0.187,0.216
478,0.163,0.179,0.208
479,0.16,0.183,0.211
480,0.16,0.184,0.214
481,0.159,0.179,0.212
482,0.155,0.177,0.208
483,0.163,0.191,0.22
484,0.161,0.184,0.211
485,0.162,0.187,0.217
486,0.165,0.185,0.214
487,0.167,0.189,0.223
488,0.161,0.186,0.215
489,0.155,0.175,0.208
490,0.156,0.185,0.215
491,0.154,0.18,0.208
492,0.166,0.188,0.219
493,0.159,0.184,0.214
494,0.16,0.186,0.213
495,0.155,0.182,0.208
496,0.165,0.187,0.215
497,0.169,0.19,0.218
498,0.158,0.184,0.21
499,0.16,0.189,0.216
500,0.161,0.183,0.212
501,0.161,0.183,0.213
502,0.162,0.187,0.217
503,0.161,0.182,0.213
504,0.162,0.186,0.212
505,0.154,0.18,0.206
506,0.172,0.194,0.221
507,0.155,0.182,0.213
508,0.16,0.181,0.211
509,0.165,0.182,0.213
510,0.161,0.182,0.211
511,0.153,0.18,0.208
512,0.161,0.181,0.213
513,0.167,0.193,0.223
514,0.156,0.182,0.208
515,0.162,0.183,0.216
516,0.166,0.188,0.217
517,0.159,0.185,0.215
518,0.159,0.185,0.214
519,0.151,0.176,0.203
520,0.166,0.187,0.215
521,0.154,0.175,0.201
522,0.163,0.184,0.213
523,0.162,0.186,0.213
524,0.162,0.186,0.219
525,0.158,0.179,0.208
526,0.161,0.185,0.215
527,0.155,0.18,0.21
528,0.161,0.183,0.211
529,0.156,0.182,0.212
530,0.163,0.185,0.215
531,0.163,0.185,0.212
532,0.158,0.18,0.209
533,0.159,0.185,0.212
534,0.159,0.184,0.215
535,0.161,0.179,0.207
536,0.161,0.183,0.214
537,0.168,0.188,0.219
538,0.161,0.183,0.213
539,0.155,0.182,0.21
540,0.165,0.19,0.217
541,0.159,0.187,0.219
542,0.155,0.182,0.213
543,0.159,0.184,0.214
544,0.158,0.179,0.206
545,0.158,0.186,0.212
546,0.158,0.182,0.212
547,0.164,0.186,0.216
548,0.169,0.187,0.219
549,0.163,0.181,0.211
550,0.161,0.184,0.211
551,0.158,0.179,0.208
552,0.163,0.19,0.222
553,0.157,0.185,0.215
554,0.167,0.181,0.211
555,0.156,0.186,0.211
556,0.161,0.184,0.213
557,0.162,0.185,0.213
558,0.161,0.182,0.213
559,0.165,0.181,0.214
560,0.163,0.182,0.213
561,0.162,0.184,0.215
562,0.159,0.184,0.215
563,0.156,0.183,0.213
564,0.162,0.186,0.216
565,0.159,0.18,0.214
